matches,innings,not_outs,runs,highest_score,average,strike_rate,hundreds,fifties,ducks,fours,sixes,balls_faced,catches,selected
37,32,5,909,120,33.67,62.82,2,4,3,98,24,1447,6,0
55,51,8,1025,132,23.84,83.27,1,2,10,111,56,1231,6,0
25,25,5,802,117,40.1,78.17,1,2,3,81,30,1026,7,0
52,50,3,679,44,14.45,54.98,0,1,6,100,13,1235,4,0
57,54,14,1723,140,43.08,88.77,3,15,3,240,87,1941,12,0
46,45,3,1111,80,26.45,95.28,0,4,7,110,67,1166,6,0
32,28,7,703,120,33.48,77.25,7,5,1,72,25,910,2,0
41,39,10,1408,133,48.55,97.64,3,4,0,172,75,1442,2,1
89,84,15,1509,49,21.87,78.63,0,2,4,220,63,1919,12,0
63,58,7,1155,126,22.65,56.73,1,3,10,154,22,2036,6,0
53,52,15,1903,173,51.43,93.84,2,11,0,255,109,2028,6,0
78,76,14,2549,134,41.11,85.02,6,12,1,261,77,2998,8,1
19,18,3,378,82,25.2,55.02,0,3,0,47,9,687,1,0
52,51,6,1408,109,31.29,79.46,4,6,2,161,61,1772,13,1
78,77,20,2470,125,43.33,101.52,6,11,0,308,144,2433,16,1
47,45,7,954,81,25.11,87.68,0,4,5,97,61,1088,3,0
80,75,9,2057,133,31.17,76.81,2,12,4,274,80,2678,9,0
78,73,20,2184,137,41.21,80.32,5,9,1,312,60,2719,17,0
42,39,8,836,105,26.97,64.21,1,1,6,86,24,1302,5,0
59,56,8,2387,118,49.73,104.05,1,6,1,333,158,2294,4,1
51,49,9,1282,131,32.05,94.06,2,5,9,168,77,1363,3,0
21,16,4,529,116,44.08,70.82,4,2,0,74,13,747,3,1
43,41,8,1571,121,47.61,109.78,1,4,0,215,95,1431,10,1
58,55,8,2039,116,43.38,70.26,3,6,1,242,60,2902,15,1
37,37,9,853,127,30.46,69.75,1,2,7,96,19,1223,2,0
90,90,11,2338,123,29.59,94.58,6,6,9,340,143,2472,9,1
82,81,14,2114,110,31.55,67.37,1,8,5,286,58,3138,14,0
45,42,8,1087,139,31.97,71.09,2,4,2,154,32,1529,8,1
48,44,9,1105,127,31.57,71.85,3,3,2,131,41,1538,7,0
36,35,7,1380,122,49.29,96.77,3,7,1,151,66,1426,9,1
62,58,10,1578,127,32.88,86.94,5,6,4,196,95,1815,7,0
42,41,8,1346,122,40.79,78.39,2,8,1,178,40,1717,4,1
64,64,15,916,51,18.69,66.18,0,0,14,114,32,1384,14,0
15,11,3,391,156,48.88,116.37,1,1,0,47,28,336,2,1
27,24,3,717,136,34.14,100.42,1,3,4,69,38,714,2,1
